tokens,tps
385,128.27
768,127.91
1151,127.77
1532,127.54
1912,127.31
2291,127.12
2668,126.90
3043,126.64
3418,126.43
3792,126.24
4164,126.01
4535,125.80
4904,125.57
5273,125.37
5640,125.16
6006,124.95
6371,124.76
6735,124.55
7098,124.35
