tokens,tps
396,131.38
723,120.12
1054,116.71
1425,118.44
1784,118.40
2121,117.33
2456,116.51
2785,115.62
3111,114.80
3484,115.65
3838,115.82
4218,116.72
4611,117.80
4952,117.48
5350,118.47
5673,117.77
6031,117.86
6359,117.38
6789,118.71
7232,120.14
7644,120.96
7967,120.33
